1,Total,753,67,18,668,27/03/2020 12:27:24
2,Kerala,137,11,0,126,26/03/2020 21:52:24
3,Maharashtra,135,15,4,116,27/03/2020 11:52:24
4,Karnataka,55,3,2,50,26/03/2020 16:48:24
5,Telangana,45,1,0,44,27/03/2020 09:37:24
6,Gujarat,44,0,3,41,27/03/2020 09:52:24
7,Uttar Pradesh,42,11,0,31,26/03/2020 12:38:26
8,Rajasthan,45,3,0,42,27/03/2020 09:42:25
9,Delhi,39,6,1,32,26/03/2020 12:21:24
10,Punjab,33,0,1,32,26/03/2020 14:53:25
11,Haryana,32,11,0,21,26/03/2020 16:05:24
12,Tamil Nadu,35,1,1,33,27/03/2020 12:27:25
13,Madhya Pradesh,21,0,2,19,26/03/2020 07:19:29
14,Ladakh,13,3,0,10,27/03/2020 11:52:25
15,Jammu and Kashmir,14,1,1,12,27/03/2020 09:37:25
16,Andhra Pradesh,12,1,0,11,27/03/2020 11:52:25
17,West Bengal,10,0,1,9,26/03/2020 07:19:29
18,Chandigarh,7,0,0,7,26/03/2020 07:19:29
19,Bihar,9,0,1,8,27/03/2020 10:12:25
20,Chhattisgarh,6,0,0,6,26/03/2020 07:19:29
21,Uttarakhand,5,0,0,5,26/03/2020 07:19:29
22,Himachal Pradesh,3,0,1,2,26/03/2020 07:19:29
23,Goa,3,0,0,3,26/03/2020 07:19:29
24,Odisha,3,0,0,3,26/03/2020 07:19:29
25,Puducherry,1,0,0,1,26/03/2020 07:19:29
26,Manipur,1,0,0,1,26/03/2020 07:19:29
27,Mizoram,1,0,0,1,26/03/2020 07:19:29
28,Andaman and Nicobar Islands,2,0,0,2,27/03/2020 09:37:26
29,Assam,0,0,0,0,26/03/2020 07:19:29
30,Meghalaya,0,0,0,0,26/03/2020 07:19:29
31,Tripura,0,0,0,0,26/03/2020 07:19:29
32,Arunachal Pradesh,0,0,0,0,26/03/2020 07:19:29
33,Jharkhand,0,0,0,0,26/03/2020 07:19:29
34,Nagaland,0,0,0,0,26/03/2020 07:19:29
35,Sikkim,0,0,0,0,26/03/2020 07:19:29
36,Dadra and Nagar Haveli,0,0,0,0,26/03/2020 07:19:29
37,Daman and Diu,0,0,0,0,26/03/2020 07:19:29
38,Lakshadweep,0,0,0,0,26/03/2020 07:19:29
